Country Code,Currency Code,BTC ATH,BTC Price,Retouched-YN,"Annual Inflation (21,22,23,24)",Effective Inflation Rate from Nov 2021 to Mar 2024,BTC ATH Inflation Adjusted
ARE,AED,253380.0743222237,247560.2,0,"-0.1, 4.8, 3.1, 2.3",8.646674481492012,275289.0245498289
ARG,ARS,6906807.506561279,56902450.0,1,"50.9, 94.8, 135.7, 69.5",461.07704450954037,38752511.427777104
AUS,AUD,93826.58118009569,103556.06,1,"3.7, 7.8, 4.7, 3.4",14.505242,107436.354
BRA,BRL,377949.2247104645,333387.36,0,"10.1, 5.8, 4.9, 3.9",13.862206586598113,430341.327032275
CAN,CAD,86169.26935315132,91505.95,1,"4.7, 6.6, 2.7, 2.1",10.894123021191682,95556.65556294564
CHE,CHF,63186.92252039909,59638.89,0,"1.6, 2.9, 1.9, 1.9",5.62872948983002,66743.54346202084
CHL,CLP,54935039.1998291,65673212.0,1,"7.1, 12.8, 4.5, 3",20.11565339673531,65985581.278627396
CHN,CNY,440925.5286455154,485232.82,1,"1.4, 1.8, 0.9, 1.9",3.440072454153187,456093.6862997791
COL,COP,267262702.33154297,265923330.0,0,"5.6, 13.1, 8.8, 4.5",25.549376208940487,335546655.61640966
CZE,CZK,1507166.99552536,1575677.2,1,"6.6, 15.8, 8.3, 2.2",27.445921185837506,1920822.8612562055
DNK,DKK,445145.3937292099,462795.36,1,"3.5, 9.6, 2.5, 2.5",13.685596329334548,506066.19539361645
DZA,DZD,9499187.759399414,9057683.8,0,"8.5, 9.3, 8, 6.8",21.644278536321803,11555218.41673201
EGY,EGP,1082196.0010528564,2082606.08,1,"4.9, 13.2, 35.7, 25.9",64.01942626147023,1775011.6719514693
EU,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
GBR,GBP,51204.57203686237,53107.83,1,"5.4, 10.5, 5.2, 2.4",17.96679366935838,60404.391844
HKG,HKD,537526.7361402512,527384.78,0,"2.4, 2, 2.6, 2.3",5.665472745984879,567980.1668786592
HUN,HUF,21688769.59991455,24570670.0,1,"7.4, 24.5, 8.2, 5.4",38.12558969389293,29957740.907231756
IDN,IDR,985080235.107422,1062106050.0,1,"1.9, 5.5, 2.3, 2.5",8.935999809473882,1073107003.0397861
ISR,ILS,214762.3280882836,241140.35,1,"2.8, 5.3, 3.6, 2.6",10.299569968022526,236881.92433469047
IND,INR,5120150.127410889,5589222.51,1,"6.3, 6.2, 4.9, 4.4",13.762031895988658,5824786.821067679
JPN,JPY,7833466.472625732,10145722.0,1,"0.5, 3.9, 2.7, 2.6",7.481530408938486,8419529.648849228
KOR,KRW,81844522.24731445,89774104.0,1,"3.7, 5, 2.9, 2",9.240708835448054,89407536.2459523
MEX,MXN,1412687.5734329224,1142800.7,0,"7.4, 7.8, 4.5, 3.2",14.900615691336604,1623186.7196694307
MYS,MYR,286582.87703990936,318363.9,1,"3.2, 3.8, 2.9, 2.7",8.089943224166763,309767.2690826217
NGA,NGN,28295520.126342773,101941826.0,1,"15.6, 21.3, 30.6, 15.4",68.20867984775005,47595520.860575594
NOR,NOK,592004.9915313721,712343.86,1,"5.3, 5.9, 4.8, 3.2",12.827568499758723,667944.8373420497
NZL,NZD,97262.22655177116,110580.48,1,"5.9, 7.2, 2.8, 2.5",11.94847788691742,108883.58218363306
PER,PEN,275973.34134578705,254232.8,0,"6.4, 8.5, 4.2, 2.2",14.85514446973819,316969.5799006674
PHL,PHP,3459073.516845703,3774501.1,1,"3.1, 8.1, 3.6, 3.3",13.480256115039069,3925365.486123993
PAK,PKR,11799107.654571531,18834781.72,1,"9.7, 21.3, 29.4, 17.5",65.96084922147192,19581899.26408261
POL,PLN,275562.19267845154,268403.31,0,"8.6, 16.6, 7.4, 5.5",28.67304670021611,354574.26887328346
ROU,RON,295802.9959201813,308739.18,1,"8.2, 16.4, 7.8, 4.7",28.606510628548687,380421.9113876534
RUS,RUB,4911539.125442505,6176199.0,1,"8.4, 12.2, 5.7, 5",21.675568118422195,5976143.134240753
SAU,SAR,258546.8274950981,252773.66,0,"1.2, 2, 2.5, 2.2",5.3295381411579745,272326.1792792033
SWE,SEK,596133.2745552063,698917.11,1,"3.3, 11.5, 5.8, 2.8",19.42874465045119,711954.4862449104
SGP,SGD,93167.42312908173,90531.68,0,"4, 6.5, 5.1, 3.2",13.5562750353029,105797.45525176445
THA,THB,2265339.0884399414,2408876.0,1,"2.2, 5.9, 0.6, 1.8",7.400433578879406,2432984.0030163317
TUR,TRY,675757.6982975006,2128424.6,1,"36.1, 64.3, 64, 54.3",216.1422796053105,2136355.792006095
UKR,UAH,1781168.5094833374,2582420.89,1,"10, 26.6, 15.5, 10",52.14673676125041,2709989.763397901
USA,USD,69000.0,67400.0,0,"7.4, 6.4, 3, 2.6",11.617701004066848,77016.213693
URY,UYU,2976543.0908203125,2633906.4,0,"8, 8.3, 5.4, 5.7",17.235311102805163,3489559.5526322457
VNM,VND,1563315750.0,1663836400.0,1,"1.8, 4.6, 4.1, 3.4",10.129545031489084,1721672522.8806114
ZAF,ZAR,1045760.5383396148,1283610.08,1,"5.4, 7.4, 5.2, 4.5",15.240693272251349,1205141.6943502
QAT,QAR,251160.0072383881,245386.55,0,"6.5, 5.9, 0.8, 2.3",8.488491025772781,272479.7019131489
KWT,KWD,20792.63265430928,20732.91,0,"4.2, 3.1, 0, 0",3.8093850700978704,21584.704098322833
OMN,OMR,26479.560144245625,25944.23,0,"3.8, 1.9, -0.7, 1.7",2.247625144474008,27074.721396193807
BHR,BHD,25834.479421377186,25393.2,0,"-0.4, 3.6, 1, 1.4",4.930201700283332,27108.171365069273
JRD,JOD,48748.49957227707,47786.6,0,,,
LBN,LBP,103463941.77246094,6049992500.0,1,"224.4, 122, 0, 0",170.1053058377855,279461596.3563339
ISL,ISK,8981039.989471436,9282328.0,1,"5.1, 9.6, 7.3, 4",19.748219188108163,10754635.451963902
HRV,HRK,449683.3530664444,,0,"5.2, 12.7, 6.2, 3.2",21.657152474411557,547071.9624920908
BGR,BGN,116401.61857008934,121434.24,1,"6.6, 14.3, 4.7, 2.2",21.613513801326413,141560.09846470293
GEO,GEL,205040.0,178610.0,0,"13.9, 9.8, 0.8, 3",13.944350993282995,233631.49727662746
KAZ,KZT,29444253.89099121,30486489.32,1,"8.4, 20.3, 11.5, 7.5",38.43019303027941,40759737.49762469
MAR,MAD,620877.391576767,679716.87,1,"3.2, 8.3, 4, 3.3",14.14761081550866,708716.7085785297
TUN,TND,195502.87753343585,210052.1,1,"6.6, 10.1, 8.5, 10.6",23.81750249682597,242066.78027132855
LKA,LKR,13707950.340270996,20773765.14,1,"12.1, 54.5, 0, 0",57.469368507800134,21585822.83618758
MMR,MMK,122788104.7668457,141588797.6,1,"7.3, 20.4, 11.1, 7.2",37.717520786710665,169100733.7058888
NPL,NPR,8091042.011260986,8941492.94,1,"4.2, 8.1, 6.8, 6.5",18.089776800134526,9554693.451903215
BGD,BDT,5808321.578979492,7399906.66,1,"5.6, 7.6, 9.7, 7.2",21.202501019525876,7039831.02097996
LAO,LAK,718965007.3242188,1407856592.0,1,"5.3, 39.3, 16.9, 3",65.46761060689381,1189654218.7190638
KHM,KHR,279064747.1923828,274250600.0,0,"3.7, 2.9, 3, 3",7.421620196481116,299775872.83127165
MNG,MNT,,,0,"13.9, 13.2, 11.7, 12.8",33.16726969078585,
BLR,BYN,167922.76418209076,220649.47,1,"10, 12.9, 3.4, 3.7",19.690023056582294,200986.79516679473
TJK,TJS,674390.0,738624.47,1,"8, 4.2, 5, 6.5",12.580985465746197,759234.9078824457
AZE,AZN,104616.0,114580.0,1,"12, 14.4, 6.3, 5",25.446808687090105,131237.43337608618
SYR,SYP,,,0,"0, 0, 0, 0",0.0,
IRQ,IQD,100156481.68945312,88326823.8,0,"5.3, 4.3, 5, 3",11.280988687872817,111455123.05901174
YEM,YER,17241375.0,16876960.0,0,"50.4, -2.7, 20, 15",29.422520203613622,22314222.042755786
RWA,RWF,68502470.58105469,86184177.8,1,"1.9, 21.6, 7.8, 5.5",33.268593635676844,91292279.14906485
BDI,BIF,135935068.45092773,193269500.0,1,"10.1, 26.6, 12.3, 22.4",51.95793023677362,206564116.48397124
ETH,ETB,3254314.126968384,3826309.46,1,"35.1, 33.8, 24.5, 18.5",82.73887374945947,5946896.983891579
SOM,SOS,39502500.0,38519100.0,0,"5.7, 6.1, 4.6, 3.9",13.087200516963481,44672271.3842135
SDN,SDG,30049500.0,40507400.0,1,"318.2, 87.3, 238.3, 127.3",887.5375970053082,296750110.21211004
SSD,SSP,,,0,"2.4, -13, 45.6, 6.1",29.0702445783515,
SYC,SCR,874967.3337936401,904544.4,1,"7.9, 2.5, -1.1, 2.4",3.2758362523741757,903629.830910484
ARM,AMD,30900001.0,27239036.0,0,"7.7, 8.3, 4, 4",15.15675400015104,35583438.13761421
MDA,MDL,1192504.8894882202,1196079.05,1,"13.9, 30.2, 5, 5",41.422408340081,1686469.1342874623
LBY,LYD,312732.4011325836,325744.87,1,"3.7, 4.1, 2.5, 2.5",8.015319350187422,337798.90179486934
JAM,JMD,10600528.770446775,10501465.94,0,"7.3, 9.4, 5, 5",17.653242161142103,12471865.784655284
FJI,FJD,143326.79969072342,151498.35,1,"3, 3.1, 4.5, 2.6",8.968590501594665,156181.19343402525
AUT,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
BEL,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
CYP,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
EST,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
FIN,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
FRA,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
DEU,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
GRC,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
IRL,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
ITA,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
LVA,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
LTU,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
LUX,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
MLT,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
NLD,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
PRT,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
SVK,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
SVN,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
ESP,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
AND,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
MCO,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
SMR,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
VAT,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
XKX,EUR,59840.76789021492,62086.18,1,"5, 9.2, 3.3, 2.7",14.484613,68508.47395072009
